GID_0,year,rainy_months,stunting_rate,hot_months,rainy_months1,rainy_months2,hot_months1,hot_months2,GDP,laggedGDP,laggedGDP2
AGO,2001,0,45.1,0,NA,NA,NA,NA,8.156377022,NA,NA
BDI,2001,0,62,0,NA,NA,NA,NA,43.84314206,NA,NA
BEN,2001,0,36.4,0,NA,NA,NA,NA,25.04816274,NA,NA
BFA,2001,1,41.8,0,NA,NA,NA,NA,26.92043043,NA,NA
BWA,2001,2,31.1,0,NA,NA,NA,NA,2.59029062,NA,NA
CAF,2001,0,43.5,0,NA,NA,NA,NA,NA,NA,NA
CIV,2001,0,33.6,0,NA,NA,NA,NA,17.27709755,NA,NA
CMR,2001,1,37.4,0,NA,NA,NA,NA,18.62095827,NA,NA
COD,2001,1,47.5,0,NA,NA,NA,NA,32.87090402,NA,NA
COG,2001,1,36.1,0,NA,NA,NA,NA,5.799931651,NA,NA
COM,2001,1,41.8,3,NA,NA,NA,NA,29.37628658,NA,NA
ERI,2001,2,47.1,1,NA,NA,NA,NA,15.1638444,NA,NA
ETH,2001,2,56.1,1,NA,NA,NA,NA,42.34057112,NA,NA
GAB,2001,0,25.8,0,NA,NA,NA,NA,6.143932582,NA,NA
GHA,2001,0,32.7,0,NA,NA,NA,NA,35.24180012,NA,NA
GIN,2001,1,34.4,3,NA,NA,NA,NA,21.74068348,NA,NA
GMB,2001,0,29.2,2,NA,NA,NA,NA,25.42563238,NA,NA
GNB,2001,0,33.5,2,NA,NA,NA,NA,37.507955,NA,NA
GNQ,2001,1,38.1,0,NA,NA,NA,NA,NA,NA,NA
KEN,2001,0,38.7,0,NA,NA,NA,NA,27.84926011,NA,NA
LBR,2001,0,44.1,2,NA,NA,NA,NA,76.5335872,NA,NA
LSO,2001,2,41.1,1,NA,NA,NA,NA,8.298870587,NA,NA
MDG,2001,0,54.7,2,NA,NA,NA,NA,29.85131341,NA,NA
MLI,2001,0,39.4,1,NA,NA,NA,NA,32.81360596,NA,NA
MOZ,2001,2,49.5,1,NA,NA,NA,NA,18.24848986,NA,NA
MRT,2001,1,38.6,1,NA,NA,NA,NA,24.86895971,NA,NA
MWI,2001,0,55.3,0,NA,NA,NA,NA,35.28267377,NA,NA
NAM,2001,1,30.2,0,NA,NA,NA,NA,9.67546592,NA,NA
NER,2001,0,52,0,NA,NA,NA,NA,40.18192773,NA,NA
NGA,2001,0,42,0,NA,NA,NA,NA,24.47535466,NA,NA
RWA,2001,2,49.5,0,NA,NA,NA,NA,31.81275239,NA,NA
SEN,2001,0,24.6,1,NA,NA,NA,NA,16.25243231,NA,NA
SLE,2001,0,39,2,NA,NA,NA,NA,45.13635404,NA,NA
SOM,2001,0,32,2,NA,NA,NA,NA,NA,NA,NA
STP,2001,1,30,0,NA,NA,NA,NA,10.1341755,NA,NA
